抽せん日,予測番号,当選本数字,一致数,等級,信頼度,出力元,予測番号インデックス
1994-12-16,"[4, 4, 0]","[3, 2, 6]",0,はずれ,0.91,PPO/Diffusion,予測1
1994-12-16,"[2, 3, 6]","[3, 2, 6]",3,ボックス,1.0014,BaseModel,予測2
1994-12-16,"[1, 2, 8]","[3, 2, 6]",1,はずれ,0.9458,BaseModel,予測3
1994-12-16,"[1, 7, 9]","[3, 2, 6]",0,はずれ,0.9381,BaseModel,予測4
1994-12-16,"[1, 2, 7]","[3, 2, 6]",1,はずれ,0.938,BaseModel,予測5
1994-12-23,"[1, 4, 9]","[2, 4, 7]",1,はずれ,0.9383,BaseModel,予測1
1994-12-23,"[2, 4, 7]","[2, 4, 7]",3,ストレート,1.0032,BaseModel,予測2
1994-12-23,"[1, 4, 8]","[2, 4, 7]",1,はずれ,0.9458,BaseModel,予測3
1994-12-23,"[0, 1, 2]","[2, 4, 7]",1,はずれ,0.9382,BaseModel,予測4
1994-12-23,"[4, 5, 9]","[2, 4, 7]",1,はずれ,0.9381,BaseModel,予測5
1994-12-30,"[3, 4, 7]","[2, 2, 9]",0,はずれ,0.91,PPO/Diffusion,予測1
1994-12-30,"[2, 2, 9]","[2, 2, 9]",2,ストレート,1.0052,BaseModel,予測2
1994-12-30,"[1, 3, 8]","[2, 2, 9]",0,はずれ,0.9458,BaseModel,予測3
1994-12-30,"[0, 1, 2]","[2, 2, 9]",1,はずれ,0.9383,BaseModel,予測4
1994-12-30,"[0, 1, 9]","[2, 2, 9]",1,はずれ,0.9382,BaseModel,予測5
1995-01-06,"[3, 2, 9]","[7, 4, 3]",1,はずれ,0.91,PPO/Diffusion,予測1
1995-01-06,"[1, 3, 4]","[7, 4, 3]",2,はずれ,0.946,BaseModel,予測2
1995-01-06,"[0, 1, 2]","[7, 4, 3]",0,はずれ,0.9392,BaseModel,予測3
1995-01-06,"[0, 1, 3]","[7, 4, 3]",1,はずれ,0.9381,BaseModel,予測4
1995-01-06,"[1, 4, 6]","[7, 4, 3]",1,はずれ,0.938,BaseModel,予測5
1995-01-10,"[8, 4, 3]","[0, 1, 9]",0,はずれ,0.91,PPO/Diffusion,予測1
1995-01-10,"[0, 1, 9]","[0, 1, 9]",3,ストレート,1.0034,BaseModel,予測2
1995-01-10,"[1, 2, 9]","[0, 1, 9]",2,はずれ,0.9465,BaseModel,予測3
